CWE_ID,Name,Description,URL
1004,Sensitive Cookie Without 'HttpOnly' Flag,"The product uses a cookie to store sensitive information, but the cookie is not marked with the HttpOnly flag.",https://cwe.mitre.org/data/definitions/1004.html
1007,Insufficient Visual Distinction of Homoglyphs Presented to User,"The product displays information or identifiers to a user, but the display mechanism does not make it easy for the user to distinguish between visually similar or identical glyphs (homoglyphs), which may cause the user to misinterpret a glyph and perform an unintended, insecure action.",https://cwe.mitre.org/data/definitions/1007.html
102,Struts: Duplicate Validation Forms,"The product uses multiple validation forms with the same name, which might cause the Struts Validator to validate a form that the programmer does not expect.",https://cwe.mitre.org/data/definitions/102.html
1021,Improper Restriction of Rendered UI Layers or Frames,"The web application does not restrict or incorrectly restricts frame objects or UI layers that belong to another application or domain, which can lead to user confusion about which interface the user is interacting with.",https://cwe.mitre.org/data/definitions/1021.html
1022,Use of Web Link to Untrusted Target with window.opener Access,"The web application produces links to untrusted external sites outside of its sphere of control, but it does not properly prevent the external site from modifying  security-critical properties of the window.opener object, such as the location property.",https://cwe.mitre.org/data/definitions/1022.html
1023,Incomplete Comparison with Missing Factors,"The product performs a comparison between entities that must consider multiple factors or characteristics of each entity, but the comparison does not include one or more of these factors.",https://cwe.mitre.org/data/definitions/1023.html
1024,Comparison of Incompatible Types,"The product performs a comparison between two entities, but the entities are of different, incompatible types that cannot be guaranteed to provide correct results when they are directly compared.",https://cwe.mitre.org/data/definitions/1024.html
1025,Comparison Using Wrong Factors,"The code performs a comparison between two entities, but the comparison examines the wrong factors or characteristics of the entities, which can lead to incorrect results and resultant weaknesses.",https://cwe.mitre.org/data/definitions/1025.html
103,Struts: Incomplete validate() Method Definition,"The product has a validator form that either does not define a validate() method, or defines a validate() method but does not call super.validate().",https://cwe.mitre.org/data/definitions/103.html
1037,Processor Optimization Removal or Modification of Security-critical Code,"The developer builds a security-critical protection mechanism into the software, but the processor optimizes the execution of the program such that the mechanism is removed or modified.",https://cwe.mitre.org/data/definitions/1037.html
1038,Insecure Automated Optimizations,"The product uses a mechanism that automatically optimizes code, e.g. to improve a characteristic such as performance, but the optimizations can have an unintended side effect that might violate an intended security assumption.",https://cwe.mitre.org/data/definitions/1038.html
1039,Inadequate Detection or Handling of Adversarial Input Perturbations in Automated Recognition Mechanism,"The product uses an automated mechanism such as machine learning to recognize complex data inputs (e.g. image or audio) as a particular concept or category, but it does not properly detect or handle inputs that have been modified or constructed in a way that causes the mechanism to detect a different, incorrect concept.",https://cwe.mitre.org/data/definitions/1039.html
104,Struts: Form Bean Does Not Extend Validation Class,"If a form bean does not extend an ActionForm subclass of the Validator framework, it can expose the application to other weaknesses related to insufficient input validation.",https://cwe.mitre.org/data/definitions/104.html
1045,Parent Class with a Virtual Destructor and a Child Class without a Virtual Destructor,"A parent class has a virtual destructor method, but the parent has a child class that does not have a virtual destructor.",https://cwe.mitre.org/data/definitions/1045.html
1046,Creation of Immutable Text Using String Concatenation,The product creates an immutable text string using string concatenation operations.,https://cwe.mitre.org/data/definitions/1046.html
1049,Excessive Data Query Operations in a Large Data Table,The product performs a data query with a large number of joins 					and sub-queries on a large data table.,https://cwe.mitre.org/data/definitions/1049.html
105,Struts: Form Field Without Validator,"The product has a form field that is not validated by a corresponding validation form, which can introduce other weaknesses related to insufficient input validation.",https://cwe.mitre.org/data/definitions/105.html
1050,Excessive Platform Resource Consumption within a Loop,"The product has a loop body or loop condition that contains a control element that directly or 					indirectly consumes platform resources, e.g. messaging, sessions, locks, or file 					descriptors.",https://cwe.mitre.org/data/definitions/1050.html
1052,Excessive Use of Hard-Coded Literals in Initialization,The product initializes a data element using a hard-coded 					literal that is not a simple integer or static constant element.,https://cwe.mitre.org/data/definitions/1052.html
1058,Invokable Control Element in Multi-Thread Context with non-Final Static Storable or Member Element,The code contains a function or method that 		 operates in a multi-threaded environment but owns an unsafe non-final 		                     static storable or member data element.,https://cwe.mitre.org/data/definitions/1058.html
106,Struts: Plug-in Framework not in Use,"When an application does not use an input validation framework such as the Struts Validator, there is a greater risk of introducing weaknesses related to insufficient input validation.",https://cwe.mitre.org/data/definitions/106.html
1061,Insufficient Encapsulation,"The product does not sufficiently hide the internal representation and implementation details of data or methods, which might allow external components or modules to modify data unexpectedly, invoke unexpected functionality, or introduce dependencies that the programmer did not intend.",https://cwe.mitre.org/data/definitions/1061.html
1067,Excessive Execution of Sequential Searches of Data Resource,The product contains a data query against an SQL table or view 					that is configured in a way that does not utilize an index and may cause 					sequential searches to be performed.,https://cwe.mitre.org/data/definitions/1067.html
107,Struts: Unused Validation Form,An unused validation form indicates that validation logic is not up-to-date.,https://cwe.mitre.org/data/definitions/107.html
1071,Empty Code Block,"The source code contains a block that does not contain any code, i.e., the block is empty.",https://cwe.mitre.org/data/definitions/1071.html
1075,Unconditional Control Flow Transfer outside of Switch Block,"The product performs unconditional control transfer (such as a 					""goto"") in code outside of a branching structure such as a switch 					block.",https://cwe.mitre.org/data/definitions/1075.html
1077,Floating Point Comparison with Incorrect Operator,"The code performs a comparison such as an         equality test between two float (floating point) values, but         it uses comparison operators that do not account for the         possibility of loss of precision.",https://cwe.mitre.org/data/definitions/1077.html
1079,Parent Class without Virtual Destructor Method,"A parent class contains one or more child classes, but the parent class does not have a virtual destructor method.",https://cwe.mitre.org/data/definitions/1079.html
108,Struts: Unvalidated Action Form,Every Action Form must have a corresponding validation form.,https://cwe.mitre.org/data/definitions/108.html
1087,Class with Virtual Method without a Virtual Destructor,"A class contains a virtual method, but the method does not have an associated virtual destructor.",https://cwe.mitre.org/data/definitions/1087.html
1088,Synchronous Access of Remote Resource without Timeout,"The code has a synchronous call to a remote resource, but there is no timeout for the call, or the timeout is set to infinite.",https://cwe.mitre.org/data/definitions/1088.html
1089,Large Data Table with Excessive Number of Indices,The product uses a large data table that contains an excessively large number of 					indices.,https://cwe.mitre.org/data/definitions/1089.html
109,Struts: Validator Turned Off,"Automatic filtering via a Struts bean has been turned off, which disables the Struts Validator and custom validation logic. This exposes the application to other weaknesses related to insufficient input validation.",https://cwe.mitre.org/data/definitions/109.html
